Provinsi,Kota,Jumlah AHH,AHH,Jumlah RLS,RLS,Jumlah HLS,HLS,Pengeluaran,PPK,Jumlah IPM,IPM
Aceh,Simeuleu,"69,57",Sedang,"9,81",Sedang,"14,28",Tinggi,"7.686,00",Rendah,"68,06",Sedang
Aceh,Aceh Singkil,"69,85",Sedang,"8,7",Sedang,"14,35",Tinggi,"9.374,00",Sedang,"70,14",Tinggi
Aceh,Aceh Selatan,"70,33",Tinggi,"8,91",Sedang,"14,7",Tinggi,"8.712,00",Sedang,"68,44",Sedang
Aceh,Aceh Tenggara,"72,62",Tinggi,"10,09",Tinggi,"14,27",Tinggi,"8.566,00",Sedang,"71,05",Tinggi
Aceh,Aceh Timur,"72,13",Tinggi,"8,47",Sedang,"13,07",Tinggi,"9.436,00",Sedang,"69,32",Sedang
Aceh,Aceh Tengah,"72,93",Tinggi,"9,89",Sedang,"14,85",Tinggi,"11.323,00",Tinggi,"74,6",Tinggi
Aceh,Aceh Barat,"71,89",Tinggi,"9,98",Sedang,"14,64",Tinggi,"10.085,00",Tinggi,"72,88",Tinggi
Aceh,Aceh Besar,"73,11",Tinggi,"10,36",Tinggi,"14,76",Tinggi,"10.309,00",Tinggi,"74,53",Tinggi
Aceh,Pidie,"69,88",Sedang,"9,03",Sedang,"14,5",Tinggi,"10.584,00",Tinggi,"71,66",Tinggi
Aceh,Bireuen,"73,66",Tinggi,"9,32",Sedang,"14,87",Tinggi,"9.758,00",Sedang,"73,63",Tinggi
Aceh,Acceh Utara,"72,63",Tinggi,"8,85",Sedang,"14,74",Tinggi,"8.970,00",Sedang,"70,87",Tinggi
Aceh,Aceh Barat Daya,"70,47",Tinggi,"8,77",Sedang,"13,67",Tinggi,"9.043,00",Sedang,"68,07",Sedang
Aceh,Gayo Lues,"69,8",Sedang,"8,42",Sedang,"14,34",Tinggi,"9.407,00",Sedang,"68,93",Sedang
Aceh,Aceh Tamiang,"73,63",Tinggi,"9,24",Sedang,"14,23",Tinggi,"9.050,00",Sedang,"71,35",Tinggi
Aceh,Nagan Raya,"72,53",Tinggi,"8,96",Sedang,"14,17",Tinggi,"9.062,00",Sedang,"70,78",Tinggi
Aceh,Aceh Jaya,"70,76",Tinggi,"8,74",Sedang,"14,02",Tinggi,"10.461,00",Tinggi,"70,88",Tinggi
Aceh,Bener Meriah,"72,85",Tinggi,"10,12",Tinggi,"13,72",Tinggi,"11.855,00",Tinggi,"74,49",Tinggi
Aceh,Pidie Jaya,"73,16",Tinggi,"9,58",Sedang,"14,99",Tinggi,"11.005,00",Tinggi,"74,8",Tinggi
Aceh,Kota Banda Aceh,"75,02",Tinggi,"13,04",Tinggi,"17,93",Tinggi,"17.521,00",Tinggi,"86,69",Sangat Tinggi
Aceh,Kota Sabang,"73,34",Tinggi,"11,2",Tinggi,"14,68",Tinggi,"12.137,00",Tinggi,"77,52",Tinggi
Aceh,Kota Langsa,"73,98",Tinggi,"11,27",Tinggi,"15,7",Tinggi,"12.678,00",Tinggi,"78,36",Tinggi
Aceh,Kota Lhokseumawe,"74,76",Tinggi,"11,27",Tinggi,"15,54",Tinggi,"12.125,00",Tinggi,"78,92",Tinggi
Aceh,Kota Subulussalam,"69,68",Sedang,"8,32",Sedang,"15,06",Tinggi,"8.065,00",Sedang,"67,1",Sedang
Sumatera Utara,Nias,"71,74",Tinggi,"6,14",Rendah,"13,3",Tinggi,"7.301,00",Rendah,"64,56",Sedang
Sumatera Utara,Mandailing Natal,"71,72",Tinggi,"8,84",Sedang,"13,86",Tinggi,"10.251,00",Tinggi,"68,56",Sedang
Sumatera Utara,Tapanuli Selatan,"71,61",Tinggi,"9,51",Sedang,"13,58",Tinggi,"11.829,00",Tinggi,"71,55",Tinggi
Sumatera Utara,Tapanuli Tengah,"71,76",Tinggi,"8,87",Sedang,"13,49",Tinggi,"10.690,00",Tinggi,"70,91",Tinggi
Sumatera Utara,Tapanuli Utara,"74,1",Tinggi,"10,09",Tinggi,"13,73",Tinggi,"12.115,00",Tinggi,"74,65",Tinggi
Sumatera Utara,Toba Samosir,"74,22",Tinggi,"10,59",Tinggi,"13,59",Tinggi,"12.676,00",Tinggi,"76,38",Tinggi
Sumatera Utara,Labuhan Batu,"72,88",Tinggi,"9,49",Sedang,"13,25",Tinggi,"11.670,00",Tinggi,"73,69",Tinggi
Sumatera Utara,Asahan,"73,39",Tinggi,"8,83",Sedang,"12,64",Tinggi,"11.795,00",Tinggi,"71,56",Tinggi
Sumatera Utara,Simalungun,"74,08",Tinggi,"9,72",Sedang,"12,82",Tinggi,"11.746,00",Tinggi,"74,29",Tinggi
Sumatera Utara,Dairi,"74,13",Tinggi,"9,88",Sedang,"13,32",Tinggi,"10.969,00",Tinggi,"73,27",Tinggi
Sumatera Utara,karo,"74,16",Tinggi,"10,03",Tinggi,"13,25",Tinggi,"12.779,00",Tinggi,"75,98",Tinggi
Sumatera Utara,Deli Serdang,"73,65",Tinggi,"10,28",Tinggi,"13,39",Tinggi,"12.890,00",Tinggi,"76,52",Tinggi
Sumatera Utara,Langkat,"74,14",Tinggi,"8,73",Sedang,"13,27",Tinggi,"11.632,00",Tinggi,"72,21",Tinggi
Sumatera Utara,Nias Selatan,"71,61",Tinggi,"6,48",Rendah,"12,78",Tinggi,"7.299,00",Rendah,"64,12",Sedang
Sumatera Utara,Humbang Hasundutan,"74,07",Tinggi,"10,01",Tinggi,"13,32",Tinggi,"8.476,00",Sedang,"70,75",Tinggi
Sumatera Utara,Pakpak Bharat,"72,61",Tinggi,"9,61",Sedang,"13,9",Tinggi,"8.764,00",Sedang,"69,58",Sedang
Sumatera Utara,Samosir,"74,1",Tinggi,"9,47",Sedang,"13,51",Tinggi,"9.158,00",Sedang,"72,08",Tinggi
Sumatera Utara,Serdang Bedagai,"73,11",Tinggi,"8,85",Sedang,"12,64",Tinggi,"11.695,00",Tinggi,"71,75",Tinggi
Sumatera Utara,Batu Bara,"72,63",Tinggi,"8,5",Sedang,"13,11",Tinggi,"10.933,00",Tinggi,"70,31",Tinggi
Sumatera Utara,Padang Lawas Utara,"71,57",Tinggi,"9,55",Sedang,"13,53",Tinggi,"10.615,00",Tinggi,"71,63",Tinggi
Sumatera Utara,Padang Lawas Utara,"71,52",Tinggi,"9,43",Sedang,"13,7",Tinggi,"9.395,00",Sedang,"70,34",Tinggi
Sumatera Utara,Labuhan Batu Selatan,"72,46",Tinggi,"8,93",Sedang,"13,42",Tinggi,"11.950,00",Tinggi,"72,82",Tinggi
Sumatera Utara,Labuhan Batu Utara,"74,06",Tinggi,"8,87",Sedang,"13,57",Tinggi,"12.429,00",Tinggi,"73,63",Tinggi
Sumatera Utara,Nias Utara,"72,12",Tinggi,"6,85",Rendah,"13,36",Tinggi,"6.788,00",Rendah,"64,64",Sedang
Sumatera Utara,Nias Barat,"72,3",Tinggi,"7,07",Sedang,"12,98",Tinggi,"6.382,00",Rendah,"63,7",Sedang
Sumatera Utara,Kota Sibolga,"74,02",Tinggi,"10,44",Tinggi,"13,42",Tinggi,"12.285,00",Tinggi,"75,2",Tinggi
Sumatera Utara,Kota Tanjung Balai,"74,01",Tinggi,"9,68",Sedang,"13,14",Tinggi,"11.753,00",Tinggi,"70,59",Tinggi
Sumatera Utara,Kota Pematang Siantar,"74,75",Tinggi,"11,58",Tinggi,"14,6",Tinggi,"12.984,00",Tinggi,"80,46",Sangat Tinggi
Sumatera Utara,Kota Tebing Tinggi,"74,07",Tinggi,"10,86",Tinggi,"13,12",Tinggi,"13.385,00",Tinggi,"76,98",Tinggi
Sumatera Utara,Kota Medan,"74,76",Tinggi,"11,62",Tinggi,"14,78",Tinggi,"15.674,00",Tinggi,"82,19",Sangat Tinggi
Sumatera Utara,Kota Binjai,"74,18",Tinggi,"11,19",Tinggi,"14,17",Tinggi,"11.567,00",Tinggi,"77,6",Tinggi
Sumatera Utara,Kota Padang Sidimpuan,"73,54",Tinggi,"11,12",Tinggi,"14,59",Tinggi,"11.552,00",Tinggi,"76,44",Tinggi
Sumatera Utara,Kota Gunung Sitoli,"74,03",Tinggi,"8,65",Sedang,"13,78",Tinggi,"8.635,00",Sedang,"70,68",Tinggi
Sumatera Barat,Kepulauan Mentawai,"71,06",Tinggi,"7,76",Sedang,"12,9",Tinggi,"6.891,00",Rendah,"63,13",Sedang
